id;name;party; sector;country;Type
UL;Ursula von der Leyen;CDU;Politik;Deutschland	;1
LK;Lars Klingbeil;SPD;Politik;Deutschland	;1
NR;Norbert Röttgen;CDU;Politik;Deutschland	;1
SW;Sahra Wagenknecht;Die Linke;Politik;Deutschland	;1
CS;Constanze Stelzenmüller;;Wissenschaft;USA;1
CL;Christian Lindner;FDP;Politik;Deutschland	;1
KS;Karl Schlögel;;Wissenschaft;Deutschland	;1
LM;Ljudmyla Melnyk;;Politik;Ukraine;1
KD;Kristina Dunz;;Journalismus;Deutschland        ;1
AB;Annalena Baerbock;Grüne;Politik;Deutschland	;1
FT;Frans Timmermans;;Politik;Niederlande;1
AM;Andrij Melnyk;;Politik;Ukraine;1
AGL;Alexander Graf Lambsdorff ;FDP;Politik;Deutschland;1
ER;Egon Ramms;;Militär;Deutschland;1
RH;Robert Habeck;Grüne;Politik;Deutschland;1
CM;Claudia Major;;Politik;Deutschland;1
KP;Katja Petrowskaja;;Journalismus;Ukraine;1
RK;Roderich Kiesewetter;CDU;Politik;Deutschland;1
CDU;CDU;1;;;2
SPD;SPD;2;;;2
Linke;Linke;3;;;2
FDP;FDP;4;;;2
Gruene;Gruene;Gruene;;;2
501;501;501;;;3
502;502;502;;;3
503;503;503;;;3
